127.0.0.1, 2019-12-17 19:37:10, POST, /admin/default/create_file, HTTP/1.1, 303, 0.028494
127.0.0.1, 2019-12-17 19:37:10, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.055665
127.0.0.1, 2019-12-17 19:37:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000169
127.0.0.1, 2019-12-17 19:37:17, GET, /admin/default/peek/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.045311
127.0.0.1, 2019-12-17 19:37:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000170
127.0.0.1, 2019-12-17 19:37:22, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.040545
127.0.0.1, 2019-12-17 19:37:22, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000994
127.0.0.1, 2019-12-17 19:37:22, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000553
127.0.0.1, 2019-12-17 19:37:22, GET, /admin/static/_2.18.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000628
127.0.0.1, 2019-12-17 19:37:22, GET, /admin/static/_2.18.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000260
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000550
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000783
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000266
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000286
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000328
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001396
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000938
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001051
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000896
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001157
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002800
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000971
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001592
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000277
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000918
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001197
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000882
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003351
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001132
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001096
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000717
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002585
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001960
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001159
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000673
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001049
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000261
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000378
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/js/ajax_editor.js, HTTP/1.1, 200, 0.000307
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/js/typeahead.min.js, HTTP/1.1, 200, 0.000637
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000554
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/images/files_toggle.png, HTTP/1.1, 200, 0.000304
127.0.0.1, 2019-12-17 19:37:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000170
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.012712
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.033319
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.046376
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070127
127.0.0.1, 2019-12-17 19:37:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.082139
127.0.0.1, 2019-12-17 19:37:23, GET, /admin/static/_2.18.5/images/save_icon.png, HTTP/1.1, 200, 0.000730
127.0.0.1, 2019-12-17 19:37:23, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.741271
127.0.0.1, 2019-12-17 19:38:15, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.015993
127.0.0.1, 2019-12-17 19:38:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.041781
127.0.0.1, 2019-12-17 19:38:23, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.406403
127.0.0.1, 2019-12-17 19:38:23, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.767972
127.0.0.1, 2019-12-17 19:38:37, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.061730
127.0.0.1, 2019-12-17 19:38:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000264
127.0.0.1, 2019-12-17 19:39:05, POST, /admin/default/create_file, HTTP/1.1, 303, 0.017781
127.0.0.1, 2019-12-17 19:39:05, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.069274
127.0.0.1, 2019-12-17 19:39:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000167
127.0.0.1, 2019-12-17 19:39:16, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.032053
127.0.0.1, 2019-12-17 19:39:16, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.008513
127.0.0.1, 2019-12-17 19:39:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000314
127.0.0.1, 2019-12-17 19:39:16, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.029532
127.0.0.1, 2019-12-17 19:39:16, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.077207
127.0.0.1, 2019-12-17 19:39:16, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.109847
127.0.0.1, 2019-12-17 19:39:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.131434
127.0.0.1, 2019-12-17 19:39:17, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.789902
127.0.0.1, 2019-12-17 19:40:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.156513
127.0.0.1, 2019-12-17 19:40:17, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.789950
127.0.0.1, 2019-12-17 19:40:36, POST, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.018125
127.0.0.1, 2019-12-17 19:40:56, GET, /pluralsight/basics/helloworld, HTTP/1.1, 200, 0.168995
127.0.0.1, 2019-12-17 19:40:57, GET, /pluralsight/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002149
127.0.0.1, 2019-12-17 19:40:57, GET, /pluralsight/static/js/jquery.js, HTTP/1.1, 200, 0.002408
127.0.0.1, 2019-12-17 19:40:57, GET, /pluralsight/static/js/calendar.js, HTTP/1.1, 200, 0.002949
127.0.0.1, 2019-12-17 19:40:57, GET, /pluralsight/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001292
127.0.0.1, 2019-12-17 19:40:57, GET, /pluralsight/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006419
127.0.0.1, 2019-12-17 19:40:57, GET, /pluralsight/static/css/calendar.css, HTTP/1.1, 200, 0.003442
127.0.0.1, 2019-12-17 19:40:57, GET, /pluralsight/static/js/web2py.js, HTTP/1.1, 200, 0.000549
